n,m,range,seed,seed2,seed3,mean,variance,period,chi,kp,km
6046,87238,81192,11918,18087,21679,2148045616.873,1535814165906371565.2116,81193,3.8615,0.0012,0.0019
19647,41663,22016,19045,27498,11244,2137653412.6703,1549132449649113798.8164,22017,8.8905,0.0075,0.0017
17162,24671,7509,28201,9277,16664,2163789404.2084,1544409906955452998.9306,7510,11.6673,0.0021,0.0103
27617,83192,55575,8164,32094,19556,2149316216.1595,1547146620271831348.4327,55576,4.1255,0.0022,0.0032
22954,71576,48622,23889,5553,24394,2142544512.7112,1545858776793663621.5031,48623,12.8563,0.0045,0.002
14094,77055,62961,16972,22745,11104,2152035207.6077,1534005919530074746.306,62962,7.3762,0.0011,0.0033
29047,50407,21360,28427,31225,8140,2142535361.628,1544593888595150424.55,21361,11.0502,0.0058,0.0035
23009,107174,84165,28636,11952,29200,2150117483.275,1540857281224668414.2188,84166,2.9378,0.0009,0.0031
19852,89607,69755,26607,13092,13107,2151879790.6742,1537063550641769506.7824,69756,3.5287,0.0004,0.0029
12595,109516,96921,25852,884,27735,2151650077.2365,1533213157425594222.4323,96922,14.2696,0.0009,0.0036
3984,85976,81992,28669,9008,19383,2149715914.7917,1536408052668715188.9661,81993,3.1906,0.0009,0.0019
10240,58522,48282,23702,10625,6339,2151019455.5795,1524904071948229430.8354,48283,12.107,0.0025,0.0048
29457,77162,47705,32303,31385,8793,2154415075.101,1541742810822950500.5106,47706,6.2805,0.0011,0.0039
15969,20940,4971,3022,17090,7766,2147285441.8282,1512934387581355471.9697,4972,3.9755,0.0074,0.0076
27388,44474,17086,26295,9658,12185,2135552406.6019,1534574411721697265.033,17087,7.1697,0.0076,0.002
17227,74795,57568,15349,1257,31804,2141754779.8705,1536917288103647732.5377,57569,5.1626,0.0034,0.0013
30751,116662,85911,28502,5490,7322,2148629004.4287,1540868905906018680.0987,85912,3.8541,0.0013,0.0018
28855,99287,70432,21475,9736,7997,2144122417.3465,1542715480268298274.2412,70433,6.1836,0.0024,0.0015
4980,21647,16667,26517,8144,24304,2170468883.7214,1541429737943208988.5562,16668,11.5945,0.0023,0.0143
3125,98327,95202,2926,9205,20213,2152123793.1026,1530592861552575487.4542,95203,5.8197,0.001,0.0037
22941,35031,12090,1256,27190,10176,2141406854.3608,1527973026977492060.2827,12091,20.1088,0.007,0.0052
617,60514,59897,4403,22128,12023,2146365534.1729,1535872867363909821.0685,59898,7.5345,0.0031,0.0018
7492,27529,20037,5346,11243,5158,2154944376.316,1539088213988646193.1458,20038,4.1293,0.0028,0.0064
27520,66923,39403,29792,432,2423,2150516052.0341,1554209058371271121.6913,39404,14.9042,0.0028,0.0059
6801,33105,26304,29984,9736,6368,2140216468.6355,1545635918946545192.7485,26305,9.7467,0.006,0.0033
20446,48767,28321,6692,29586,19798,2142278268.245,1541243158441023644.5234,28322,11.9389,0.0069,0.0035
8736,11445,2709,8582,4333,23792,2139819182.8941,1531081182840633240.1493,2710,4.6601,0.0107,0.0057
17394,18126,732,1086,16285,612,2135334691.0068,1557549477802637314.5879,733,5.6159,0.0238,0.0145
13658,61397,47739,17893,645,7406,2146867250.064,1538377977688743091.206,47740,5.5174,0.0025,0.0022
10805,55760,44955,23165,24944,9388,2148824650.2892,1543368286495901572.8801,44956,5.6742,0.0015,0.0029
15060,110768,95708,23906,28855,7270,2142764493.1222,1532719721581470955.1247,95709,10.9138,0.0033,0.0016
5111,30603,25492,24708,19788,25114,2143589868.6918,1529632761287263268.661,25493,6.6873,0.0048,0.0031
21669,49853,28184,27732,13794,16475,2144984035.7121,1522250470057290170.1006,28185,9.2022,0.0058,0.0037
25297,62502,37205,21947,6174,6746,2152403344.3126,1535398002266974782.6016,37206,4.6921,0.0011,0.0038
26589,108816,82227,31577,28368,27121,2145316504.771,1542124305466540799.3011,82228,9.6246,0.0027,0.0023
8434,40294,31860,6789,23050,25560,2153846120.5676,1530959423129333240.903,31861,11.1714,0.0018,0.0054
20612,26232,5620,18455,3327,1074,2173344232.7093,1533236168249543428.4784,5621,6.7633,0.0021,0.012
12266,87611,75345,31284,10761,28792,2145297533.1546,1534052486880425727.9265,75346,6.8212,0.0021,0.0012
31055,99995,68940,23032,31134,13369,2145426739.865,1524698978053509250.962,68941,4.568,0.004,0.0027
24529,54232,29703,18234,23473,4795,2156562724.573,1546813787065571639.4817,29704,9.4296,0.0007,0.0056
1395,100805,99410,6003,22648,1808,2144068361.3286,1537209119093917836.6835,99411,14.0025,0.0032,0.0011
2343,19214,16871,13558,17380,20616,2145825097.6871,1532660029563991305.5218,16872,8.0865,0.0032,0.003
