n,m,range,seed,seed2,seed3,mean,variance,period,chi,kp,km
14249,82467,68218,22908,31497,20942,2142506929.0783,1533807411426809068.2917,68219,6.4277,0.0036,0.0011
286,17368,17082,11413,2879,5527,2151532836.9246,1545476067528195368.0102,17083,3.3632,0.0028,0.005
3553,4142,589,25368,25041,10275,2070352685.9576,1531847245336821754.7253,590,9.792,0.048,0.0138
12823,90602,77779,11627,6091,24155,2140039902.9183,1532180290507047043.3042,77780,13.8159,0.0047,0.001
29268,118052,88784,14585,9872,28515,2144483712.6829,1535614780245547970.9985,88785,3.2633,0.0022,0.0008
368,44433,44065,32616,21068,7146,2143701936.2632,1540838108946200270.9133,44066,6.1497,0.0036,0.0011
24492,87134,62642,22806,26186,19444,2142175041.0529,1541604388164806228.564,62643,9.8701,0.0035,0.0012
16986,32822,15836,21723,8798,730,2148868351.0382,1553802624727302564.6238,15837,10.8962,0.007,0.0083
25795,70703,44908,26824,20932,17881,2136720068.5023,1544856384554681690.746,44909,18.3792,0.0067,0.0012
853,33331,32478,29649,20220,19454,2143601104.3007,1538851924325772946.1437,32479,5.4903,0.0034,0.0016
22719,106153,83434,6905,12296,3970,2156949361.2068,1534476034740796572.0245,83435,18.5259,0.0004,0.0046
22042,54490,32448,7561,17268,5002,2148453236.7969,1532196169851487748.1088,32449,2.6732,0.0027,0.003
2451,60328,57877,15603,8004,19879,2148501762.5897,1538894896565952308.2786,57878,2.3909,0.0013,0.0019
14105,83473,69368,532,10847,416,2148746150.4148,1531945025313315823.3926,69369,7.4643,0.002,0.0021
24234,51056,26822,14193,228,21096,2154766774.8039,1537078696703103797.507,26823,9.2079,0.0017,0.0055
18622,68363,49741,518,31753,24777,2145332090.1077,1532997869656974952.378,49742,7.3018,0.0024,0.0013
24509,61445,36936,12762,14682,31551,2162893063.1781,1549633749408378328.9499,36937,18.0213,0.003,0.0077
8202,54174,45972,12425,8416,32564,2144549425.8737,1540804507529030918.6057,45973,6.0183,0.0033,0.0026
32743,48905,16162,17990,25193,3911,2147924230.2168,1535054520792882496.7442,16163,8.0523,0.0036,0.0036
21445,93086,71641,29079,5871,18483,2149673658.9087,1538455891054500196.8253,71642,10.4821,0.002,0.0027
17999,48412,30413,8584,16046,22687,2143025160.9371,1528334099319404000.188,30414,8.7286,0.0039,0.0019
24994,121877,96883,32153,29778,1692,2148340635.9722,1533321067118278894.1992,96884,12.7393,0.0024,0.002
6927,101996,95069,8961,20404,27507,2145635724.7847,1533330266489827938.5154,95070,12.2813,0.0028,0.0014
32706,45592,12886,14347,1264,24573,2146018946.9454,1545738877215082616.3551,12887,15.2643,0.0044,0.0048
8954,76494,67540,5527,13072,14970,2140642992.7859,1547756491728555939.1322,67541,12.1939,0.004,0.0011
27320,52936,25616,13319,23304,3927,2140387161.8183,1544176305635810045.7445,25617,13.8247,0.0069,0.0006
15796,97988,82192,6404,12314,8041,2145157573.6799,1531349429554450491.4618,82193,7.2188,0.003,0.0012
29438,51167,21729,19855,14577,10227,2129536727.3962,1524516329793767927.6101,21730,12.193,0.0089,0.0005
4549,53639,49090,22586,26626,14832,2137257402.2952,1548034520903725152.3645,49091,16.0587,0.006,0.0009
6163,8625,2462,25469,19587,21824,2140447741.6516,1510217479368311775.7495,2463,9.4676,0.0111,0.0107
2670,87847,85177,27032,16455,13593,2143764872.4238,1531958687291696656.9724,85178,3.107,0.0029,0.0006
12305,47078,34773,576,30217,3266,2141381098.8694,1543507201381072185.7357,34774,10.4168,0.0044,0.0017
23799,73039,49240,12613,31079,3063,2148188539.4466,1543964066355093743.5825,49241,5.8132,0.002,0.0022
24078,59554,35476,5755,7088,6160,2156093435.7949,1544421664875584282.9226,35477,10.8812,0.0013,0.0064
27352,56338,28986,17174,5185,24339,2146343347.7534,1540149679014270368.4836,28987,6.6194,0.0036,0.0027
13052,87524,74472,5742,26213,3808,2159181994.731,1539844263401519428.9465,74473,13.2573,0.0003,0.0056
20046,51002,30956,11184,24037,803,2154994537.4891,1536081445447618026.4014,30957,12.3608,0.0012,0.0042
9605,69783,60178,1537,24749,18275,2156366406.1396,1530336732394297337.8595,60179,7.9528,0.0005,0.0049
29001,33814,4813,16496,8953,12807,2137385125.4306,1541740056154732973.2531,4814,3.0229,0.008,0.0043
8283,67341,59058,3627,31886,8815,2144662657.8103,1541188830201332989.8091,59059,3.0151,0.0029,0.0012
476,85539,85063,16271,5060,31574,2143463995.793,1534971634681565315.0562,85064,4.8645,0.0029,0.0006
1735,47567,45832,4077,21739,14847,2137794741.6597,1537000587905721674.8501,45833,12.4607,0.0046,0.0006
13976,96942,82966,30166,27057,5421,2144264517.6263,1538928611788101499.0898,82967,5.7565,0.0025,0.001
23362,33136,9774,30191,30757,3234,2143524720.7419,1537306666262193696.711,9775,4.9473,0.0073,0.0038
10426,56155,45729,1455,25873,27401,2150872851.8396,1537354080352585103.9025,45730,7.206,0.0011,0.0031
20701,44634,23933,9838,10867,2933,2162800362.6201,1536591742248286813.5363,23934,11.2019,0.0005,0.0074
22693,88027,65334,1419,4906,31760,2144407939.2708,1538637364861041222.0352,65335,4.435,0.002,0.0005
19426,112564,93138,4038,17032,4138,2144727846.806,1535471655582156824.9796,93139,2.8827,0.0021,0.0008
27766,48137,20371,31305,30155,2306,2139154752.0918,1521066375865320437.5365,20372,13.6067,0.0083,0.0024
14186,74445,60259,22726,20380,22894,2152451086.9837,1539949460051240315.8977,60260,7.2562,0.0009,0.003
25169,83249,58080,27410,7352,16903,2146166282.357,1542232806715998899.1709,58081,19.3947,0.0041,0.0033
3708,89017,85309,13370,31660,11772,2157445186.7552,1540815643151114851.0874,85310,9.4182,0.0006,0.0045
19305,66340,47035,9477,7665,9,2144091014.3161,1544344805340296466.787,47036,11.406,0.0039,0.002
29749,57472,27723,30318,30997,11594,2142466744.48,1539980074531874839.9262,27724,7.9697,0.0039,0.0011
31331,61670,30339,18338,9424,3178,2152329438.5889,1518739935410289192.479,30340,10.1615,0.0038,0.0053
9622,34436,24814,21608,12541,22247,2148853859.8306,1527068369459734464.4381,24815,8.7327,0.0036,0.0036
31591,108795,77204,22186,22638,19389,2152653488.6177,1537773221152030706.7608,77205,8.5925,0.0003,0.0032
8245,10394,2149,5282,27386,24468,2136335040.1516,1505463344164982429.2626,2150,7.3619,0.0128,0.0093
7921,30182,22261,15752,32732,25113,2144237248.2406,1546292028525136217.2531,22262,12.0383,0.0057,0.0037
3309,42055,38746,25984,4087,26953,2146271721.4561,1528605995737465574.4093,38747,4.3906,0.0034,0.0022
29490,112652,83162,30923,5579,30247,2145474899.2965,1543120343191137719.959,83163,4.8219,0.0027,0.0015
20419,53772,33353,14086,6062,25257,2150012209.5738,1531968530826490195.3945,33354,5.3275,0.0021,0.0034
25766,105813,80047,3954,9111,15853,2147664953.3986,1548235852929755402.8392,80048,11.1217,0.0025,0.0032
23014,27530,4516,14243,19932,21735,2161289424.8231,1544400766078817129.2056,4517,4.6546,0.0032,0.0106
23542,105153,81611,17127,10243,2265,2138858081.9276,1545064031732118605.9288,81612,17.0407,0.0052,0.0006
5495,79732,74237,26799,32757,1365,2142945843.2035,1536197001851346974.6117,74238,7.3419,0.0033,0.0008
17125,17919,794,30127,900,28321,2135311888.1522,1466082890718579741.4171,795,3.8396,0.0251,0.0192
16642,46088,29446,3399,3830,3620,2153118288.942,1539068088788994383.5217,29447,6.4209,0.0018,0.0036
6919,74740,67821,15540,5960,9930,2154233291.1746,1549966108131281817.8406,67822,16.309,0.0017,0.0046
26062,39102,13040,31970,30444,16564,2122849116.5381,1518569717944693139.1957,13041,11.5094,0.0144,0.0014
17788,26127,8339,28836,31094,31961,2156891730.6062,1529677745893088834.1265,8340,11.0296,0.0017,0.0073
12744,82794,70050,8217,3112,26563,2155346673.3676,1535090207272005505.4829,70051,11.6872,0.0005,0.005
28822,119399,90577,25583,12572,23551,2151243722.7006,1536801862030814929.0159,90578,3.9594,0.0006,0.0025
4466,103188,98722,1621,28604,21907,2151216702.735,1539642167278153823.7425,98723,11.0208,0.0011,0.0031
29743,42719,12976,4137,18371,6554,2141139038.6373,1535375497261230412.4642,12977,10.3023,0.0062,0.0032
2453,39690,37237,28883,1244,11229,2157499681.1967,1539010258004414916.8792,37238,10.2899,0.0016,0.0056
6209,33085,26876,5525,13879,9730,2147858261.6245,1530759823837614771.5396,26877,20.1687,0.0035,0.0052
304,60368,60064,7093,17324,29272,2142495229.1935,1534074650486951684.9859,60065,5.6119,0.0038,0.0013
14833,108309,93476,10564,23023,8974,2145790325.2953,1539351684883542868.0513,93477,2.1296,0.0016,0.0012
6061,35684,29623,9887,23812,22731,2145404183.9911,1535071255142578594.2363,29624,2.4618,0.0031,0.0017
12309,36360,24051,24355,15673,1665,2155965937.3977,1541785617074812277.4359,24052,6.9569,0.0021,0.0051
8054,65473,57419,14081,18783,7969,2136177393.1329,1549243182523281537.0771,57420,16.6301,0.0068,0.001
22590,43860,21270,10352,8556,28248,2147317279.1421,1537490618602243472.2231,21271,6.2123,0.0036,0.0039
2198,4710,2512,1935,5581,26852,2152050726.1596,1525815862849162416.1914,2513,2.749,0.0097,0.0089
5641,64203,58562,30469,7183,24037,2155554753.8116,1542862020445753013.8219,58563,8.6235,0.0004,0.0048
1893,28224,26331,10772,12108,601,2161834724.9901,1549909858611574730.4321,26332,10.8767,0.0024,0.0079
26820,76575,49755,15125,14517,14689,2147544549.1462,1533900629812571573.4627,49756,6.5406,0.0025,0.002
13126,77955,64829,22859,32589,16144,2143349860.8562,1540484682821959187.0776,64830,4.6693,0.003,0.0009
28565,84944,56379,30998,23216,12460,2147018840.4633,1539868150978989017.3377,56380,1.8492,0.0025,0.0024
11418,74574,63156,25239,21002,24344,2139292791.4028,1544835272414600404.3134,63157,11.9596,0.0047,0.0016
25181,76109,50928,6899,2337,5925,2151939878.6105,1536783860572492103.9165,50929,4.6564,0.0015,0.0034
12278,79802,67524,5251,25302,3088,2141302203.1831,1536199593273051710.1806,67525,10.3604,0.0034,0.0011
3145,50762,47617,12393,29751,4301,2161065182.8366,1543132838749868524.3389,47618,10.3007,0.0011,0.0073
8567,28704,20137,11663,21241,10718,2148689152.4715,1537408457277158824.9408,20138,6.2781,0.0039,0.0035
26326,67933,41607,14323,31201,27495,2154021598.3457,1550258088536177537.8356,41608,10.1795,0.0025,0.0045
28984,54103,25119,14141,14088,9243,2155322334.8516,1550534041647019012.1236,25120,11.5924,0.0035,0.0047
2629,2937,308,24981,13202,30328,2184405507.7379,1376292314323719761.4556,309,10.0525,0.0364,0.051
2875,34545,31670,5944,9710,32177,2153602249.1532,1540242529060810537.5027,31671,5.6726,0.0015,0.0043
7864,59669,51805,4003,23352,28835,2142122775.1446,1541403988863232531.2268,51806,10.613,0.0026,0.0004
7036,30417,23381,4993,17775,11947,2144719939.8879,1528206918883123515.7865,23382,10.8848,0.005,0.0041
4421,74143,69722,26590,17369,4061,2149931319.6268,1530681520329177037.311,69723,8.5659,0.0013,0.0025
7512,62914,55402,10118,1291,18375,2152312073.7011,1532317314575873403.3247,55403,10.8618,0.0011,0.0034
11530,95565,84035,12770,18507,29220,2144945546.8457,1536454950255682909.2166,84036,6.3321,0.0025,0.0014
22761,110941,88180,582,2813,9092,2148741962.6035,1538103835200967489.9647,88181,8.5016,0.0016,0.0019
27647,115751,88104,26903,3692,1972,2156776546.9382,1534120739792740933.6602,88105,15.2633,0.0003,0.0058
26713,35221,8508,1784,19626,25257,2158696189.1978,1537070783447245273.0953,8509,6.4561,0.0039,0.0104
26116,38955,12839,26256,14251,32764,2157460117.1445,1543548489238260782.0863,12840,6.0551,0.0016,0.0067
15151,70777,55626,17462,28548,32523,2145414080.8178,1535587104645793882.1695,55627,4.9498,0.0027,0.0015
20884,45227,24343,10262,5781,19395,2154757081.9759,1545744404137787615.2578,24344,8.4107,0.0025,0.008
8728,21839,13111,1420,926,20058,2175663799.5487,1555394502329504222.1816,13112,17.7769,0.0004,0.0156
10245,75208,64963,14258,25337,5596,2146858216.0366,1533224874652609438.7725,64964,8.8984,0.0033,0.0019
26008,78302,52294,7709,21594,2842,2147188736.6316,1531445301584431488.321,52295,5.0464,0.0028,0.0027
2462,86698,84236,8486,26408,18230,2148486544.5153,1535666444434273572.0801,84237,7.7833,0.0013,0.0016
1654,94703,93049,26279,14003,21890,2147884253.6081,1542851168603006350.7384,93050,8.7208,0.0025,0.002
1757,17242,15485,23480,14312,11250,2131037153.8546,1527875373612897702.8883,15486,9.5772,0.0112,0.0029
18783,102663,83880,16629,27920,28287,2147497216.1563,1527054934586435800.3674,83881,11.993,0.0035,0.0025
10968,11503,535,30947,17622,26306,2196449103.2425,1547563936803191359.0942,536,12.0863,0.0106,0.0382
3626,36802,33176,11088,22477,5849,2142784292.802,1538240198782963882.5832,33177,5.3905,0.0031,0.0009
14074,29324,15250,8659,19415,25612,2152657993.9253,1552230040902267717.8314,15251,5.8362,0.0046,0.0062
28664,117172,88508,13245,26015,25937,2146561815.3257,1529651959715855857.4011,88509,3.1976,0.0031,0.0019
25304,75023,49719,12029,13167,911,2141492864.5791,1532788198236852669.413,49720,12.248,0.0038,0.0014
25080,75018,49938,12935,25674,22686,2150052700.0674,1527156760590712791.0104,49939,10.5928,0.0018,0.0036
6743,31831,25088,3098,8389,7045,2142998539.9954,1535749875004051347.2161,25089,3.1073,0.0039,0.002
27228,96713,69485,1408,22694,14151,2149070051.3169,1552586897525808909.2147,69486,14.389,0.0031,0.0037
28488,107088,78600,586,3710,15853,2147202299.951,1537790005508127451.7827,78601,2.6403,0.0014,0.0016
20460,55841,35381,27670,26270,11226,2153016524.6784,1541335682371723211.5678,35382,6.1333,0.001,0.0038
15985,19860,3875,18515,30683,9568,2113135104.2549,1533026039993966463.5749,3876,7.4826,0.0185,0.0024
3037,51876,48839,504,27951,23994,2139894083.3011,1526888742026098022.6157,48840,10.3162,0.0052,0.0022
14143,40687,26544,23576,25016,5543,2154265157.7816,1536015391240324108.7103,26545,7.2974,0.0011,0.0035
17845,20068,2223,15093,27220,20616,2146578003.3934,1548809513915163195.4221,2224,9.5692,0.011,0.0108
23619,69350,45731,31625,10827,28748,2154367739.7804,1539112290231706660.8507,45732,11.6517,0.0012,0.0039
11724,34006,22282,28597,10703,2894,2145347918.1673,1530212903878377914.9283,22283,5.7453,0.0036,0.0021
27959,64629,36670,27081,26042,17422,2154173825.7639,1525954178842642314.4331,36671,9.3237,0.0019,0.0059
13334,16805,3471,22743,21749,29841,2123882898.3252,1563022077742316744.8277,3472,16.4847,0.0212,0.0047
10814,101386,90572,31390,20167,13334,2149855274.2768,1534210634260786416.5384,90573,3.6766,0.0006,0.0027
20222,86916,66694,25520,2162,8450,2143193120.1368,1537587633864851367.0232,66695,5.8673,0.0028,0.0003
12739,68302,55563,15257,177,1830,2148842443.5996,1545701082175840814.0236,55564,4.4679,0.002,0.0032
31931,101001,69070,31768,26737,1483,2147639169.2585,1543221745919746184.6008,69071,10.0259,0.0024,0.002
29728,105734,76006,6426,19052,18063,2151829665.7706,1537849837436697891.3276,76007,11.5103,0.0006,0.0032
7936,61716,53780,4931,14838,29979,2152105202.3362,1531657790343511323.6467,53781,6.5398,0.0016,0.0028
23805,101286,77481,9583,16378,32175,2142614601.4435,1533884491584053965.1441,77482,7.2667,0.0042,0.0011
5771,38660,32889,8843,32505,11698,2151364862.3141,1547636408725024191.6657,32890,8.8845,0.0022,0.0045
14246,113194,98948,16301,14367,17419,2145256602.8281,1534633866066867348.0363,98949,1.2067,0.003,0.0014
20296,56137,35841,15180,13374,7227,2148369075.8724,1537067616474233838.2355,35842,12.0666,0.0028,0.0028
9601,92183,82582,22275,20484,23121,2150405539.5671,1531474357568807244.5552,82583,10.8782,0.0021,0.0035
10422,80810,70388,30192,6274,18300,2147592450.637,1533564625812284863.678,70389,2.672,0.0014,0.002
29613,93613,64000,6408,12057,17422,2150437458.6261,1529538312119839684.5192,64001,4.5945,0.0019,0.003
14913,101130,86217,23061,22325,9116,2152255718.3241,1542442834852095513.4815,86218,7.3669,0.001,0.0033
3626,93743,90117,10113,10361,28044,2152693087.6716,1540091605882184491.078,90118,10.6173,0.0008,0.0027
23737,52071,28334,20240,22012,26997,2145313658.6233,1538141492700082703.1455,28335,5.905,0.0034,0.0024
15511,58960,43449,11818,7279,31117,2149067576.0321,1543853699687779484.5969,43450,6.5371,0.0027,0.0029
29896,82954,53058,12286,29148,21618,2151417514.9336,1536184535610656702.8963,53059,5.591,0.0011,0.0031
25751,36437,10686,11222,16371,5871,2181584873.613,1536337060338920308.0851,10687,15.7566,0.0015,0.0161
30734,105531,74797,32043,25317,24505,2139824575.8388,1536798526133678591.3927,74798,8.4772,0.0036,0.0003
14762,111222,96460,7344,8372,19576,2145180040.8488,1535893735945729576.3969,96461,1.9081,0.0027,0.0008
11850,77716,65866,18230,25697,20426,2148911487.3797,1542406723200850451.3326,65867,6.4254,0.0018,0.0022
7309,30449,23140,15507,8083,9408,2154492127.5481,1546541514542454605.3417,23141,12.9417,0.002,0.0068
28994,110234,81240,259,18052,12641,2149456040.8753,1532578907804070871.364,81241,8.0205,0.0013,0.0026
11284,81496,70212,9157,7592,23989,2148267999.2501,1534982104202026988.6513,70213,10.0685,0.0022,0.002
21824,106438,84614,11234,8727,14113,2149296682.9128,1535890028384272542.1252,84615,5.6165,0.0017,0.0024
3889,16563,12674,2356,23648,28935,2151945882.703,1525611701305614218.2265,12675,6.1525,0.0056,0.0045
14063,55594,41531,15440,19163,7646,2141178958.4876,1534360531077631600.3101,41532,12.1116,0.005,0.0031
31601,70581,38980,5262,21041,15096,2148275004.2763,1543031663851053974.9038,38981,12.8844,0.0037,0.0028
15287,99233,83946,17239,19321,18253,2155878313.3259,1532954887034404672.0964,83947,14.2117,0.0004,0.0049
26399,65089,38690,16629,18888,16285,2150412854.5049,1533066836846241560.0611,38691,15.3314,0.0024,0.0049
5966,69931,63965,21717,2424,23499,2144709490.8934,1537895137035247635.8756,63966,6.6215,0.0025,0.0012
11155,40490,29335,24892,29636,3237,2158766161.8868,1548201944342643114.5495,29336,5.4575,0.0011,0.0067
20868,79198,58330,32043,15922,8375,2149699746.4338,1550161646602644562.6298,58331,10.440,0.0034,0.0045
3813,11828,8015,31211,30345,22430,2159437772.976,1555889265785301478.5703,8016,11.294,0.0059,0.0122
762,33711,32949,12584,26158,31234,2151769181.6398,1539146839564362361.1788,32950,4.2265,0.0013,0.0047
25394,73397,48003,6970,10621,27576,2153033714.3265,1539657748825628790.361,48004,9.3116,0.0005,0.0038
15671,72081,56410,997,218,12643,2148213644.2113,1547783612143129020.4781,56411,9.2027,0.0029,0.0032
2040,43162,41122,23416,29016,28642,2146318295.9842,1539954582299776987.7051,41123,10.6863,0.0039,0.0021
8967,55455,46488,19436,15754,31972,2158575728.5848,1532101428515563034.8138,46489,6.7928,0.0012,0.0054
8546,22694,14148,23346,27304,28481,2149663690.2346,1542110885547322072.3458,14149,3.3444,0.0028,0.0042
18235,99613,81378,20729,13328,16818,2148053012.1976,1546070035260480455.327,81379,8.7991,0.0019,0.0025
26634,60986,34352,9320,27069,20702,2146132531.0987,1538928525485367492.8253,34353,10.1429,0.0034,0.0024
25724,27426,1702,14415,2005,25394,2180301943.3535,1521233960747086025.0236,1703,7.2631,0.0037,0.0172
10152,84132,73980,18892,4850,28433,2137964790.735,1531036084206981898.4201,73981,13.1026,0.0047,0.0006
4558,56326,51768,2333,5324,3097,2147133939.507,1532130150232618297.7594,51769,17.3458,0.0022,0.0026
3398,26253,22855,16044,24621,23311,2156082234.4563,1530646135821898436.3161,22856,21.654,0.0022,0.0073
1380,3922,2542,15929,12489,10174,2117063349.4927,1585560961815345971.2267,2543,8.3398,0.0247,0.0098
169,91365,91196,11798,22085,60,2142726084.6638,1537568082050249753.579,91197,8.1331,0.0032,0.0004
7079,7445,366,18656,4077,19637,2077363239.03,1527788556462992183.5114,367,8.6895,0.0482,0.0092
12104,26802,14698,15902,27004,8698,2141149931.194,1516178614787669142.5127,14699,14.4126,0.0086,0.0041
18872,111452,92580,4432,31003,13936,2147303862.4688,1539662986953974529.0151,92581,8.1555,0.0014,0.001
11656,71929,60273,4429,29747,6475,2144166363.9287,1533364658607667573.3526,60274,9.6656,0.003,0.0016
15833,100120,84287,15079,28752,19375,2151768562.2513,1531700501515028799.9179,84288,5.7222,0.0006,0.0029
32610,80605,47995,7139,6695,14244,2147683300.8201,1539175090617772523.292,47996,6.2447,0.0019,0.0019
5901,100817,94916,11150,8707,11008,2150343504.5694,1540805638190285804.2708,94917,5.0643,0.0008,0.0027
13698,20906,7208,3379,14271,12764,2178747740.4521,1529139005072022745.2753,7209,17.1424,0.0015,0.0173
3679,57334,53655,14529,23540,18259,2146257528.121,1539474344096044122.989,53656,5.6461,0.0039,0.0023
22266,63598,41332,27557,20603,3889,2140831273.8188,1547385857593755954.0276,41333,12.5592,0.0052,0.0008
31965,89082,57117,18702,3023,7717,2150504538.9496,1536505352458973093.5859,57118,8.0368,0.0021,0.0043
12357,16358,4001,21774,25716,12704,2148799875.0375,1539096302354655583.4274,4002,10.3783,0.0062,0.0084
8741,61938,53197,974,28364,26709,2158762625.684,1530346922761723565.19,53198,15.8555,0.0006,0.0063
17234,77541,60307,25066,2297,16002,2141406336.0262,1523818467468410136.1535,60308,17.0425,0.0053,0.0016
31474,37570,6096,24834,31667,29040,2118456499.3649,1547918807097881185.536,6097,7.7624,0.0153,0.0007
15990,50478,34488,3096,9562,5050,2147792663.1708,1542661233266487465.1752,34489,6.3072,0.0029,0.0028
17107,41085,23978,23680,12033,10387,2152892107.8814,1543771353043021917.7724,23979,6.1028,0.0029,0.0053
3729,63164,59435,30191,27326,4034,2148941957.7175,1528004317106203443.5118,59436,9.237,0.0029,0.003
10452,66022,55570,10015,11925,5318,2140975210.6036,1535294159527449775.1412,55571,7.7712,0.0032,0.0002
5727,8352,2625,2959,11328,29444,2146904632.2178,1533322476258941414.6959,2626,4.015,0.0092,0.0073
14246,36872,22626,8265,27309,12924,2142221888.8361,1542697335875263191.7404,22627,7.1378,0.0047,0.002
9049,38971,29922,24073,17728,4081,2163908357.9614,1542428588703048778.3387,29923,5.842,0.0005,0.0081
24443,69013,44570,19864,31389,1687,2148117443.4027,1535653254774511364.4659,44571,1.3316,0.0017,0.0016
30325,77827,47502,14851,29785,12832,2138034272.3474,1533262526033803256.426,47503,12.2232,0.0046,0.0007
9105,54926,45821,13132,5013,19192,2142253693.5986,1536788560180754005.3634,45822,6.4702,0.0038,0.0007
670,21548,20878,6496,11310,9308,2146473173.785,1541186277270175831.7447,20879,3.6201,0.0051,0.0036
26658,46113,19455,16884,17363,7470,2152415597.4898,1545260958983676725.6606,19456,13.382,0.0024,0.0051
27120,96519,69399,22735,18536,27230,2148986610.1444,1539457425051705276.1772,69400,1.044,0.0014,0.0023
24903,100497,75594,21580,31754,18345,2151716360.566,1535901239021468671.1921,75595,5.5973,0.0004,0.0028
692,30514,29822,9111,17149,16197,2148582906.9973,1524657923967254763.6191,29823,5.1813,0.0035,0.0046
8649,101882,93233,20514,8812,11082,2148996988.6961,1543279866486191693.9961,93234,8.4646,0.0018,0.0022
9378,106343,96965,9662,7640,3460,2144481905.5783,1534200326962238502.5757,96966,13.555,0.0022,0.0006
1224,29822,28598,4261,24265,8194,2143140640.1968,1542515399061839888.5356,28599,8.1449,0.0053,0.0027
3752,23571,19819,4333,27960,13582,2159954787.9972,1525239583252766647.3725,19820,9.2144,0.0013,0.0075
29047,104766,75719,30722,2772,5258,2146809361.798,1541847815050483721.0064,75720,8.3937,0.0028,0.0013
5315,28086,22771,19920,27214,29275,2153651972.8858,1531813304071159026.8559,22772,7.1083,0.0033,0.0039
25107,37165,12058,27378,31662,11800,2153235800.9526,1536483629152607939.9366,12059,10.5994,0.004,0.007
21021,91149,70128,3205,13526,8998,2146831004.3313,1526349971971068584.3718,70129,8.0159,0.003,0.0027
13389,43912,30523,32465,5438,25500,2156218770.7277,1536357370357735558.9483,30524,9.1499,0.0012,0.0059
15849,61715,45866,26388,8299,30980,2141811329.8475,1543848299850106544.5708,45867,7.8443,0.0032,0.0015
12292,110839,98547,10922,14530,8590,2141091944.9263,1536014838127039148.5655,98548,7.8164,0.0028,0.0001
13374,61865,48491,28524,15604,22876,2149013245.4234,1532563182353195176.6775,48492,4.4866,0.0027,0.0033
24447,57082,32635,16197,1792,18634,2157384556.2023,1541654348555116675.2572,32636,7.0861,0.0011,0.005
29289,68567,39278,31161,5105,25039,2155144498.7211,1533491721135134322.7586,39279,6.2708,0.001,0.0047
11607,86507,74900,20342,329,10203,2142835853.9222,1536789707057636178.6581,74901,8.6125,0.0025,0.0006
21691,37170,15479,3116,25005,24351,2155203672.1928,1542903366768353160.228,15480,11.4245,0.0028,0.0059
12979,86886,73907,9526,22748,3390,2154098277.6322,1537239085457276030.0064,73908,16.7116,0.0011,0.0044
10385,78431,68046,30563,13835,22254,2139921321.046,1543103762102775423.4225,68047,8.2665,0.0044,0.001
25331,106796,81465,28914,31322,26669,2150260890.7734,1530788752708985868.7771,81466,14.4808,0.0025,0.0025
295,64812,64517,28668,21322,21748,2142866508.0373,1538717808218409337.7972,64518,5.1871,0.003,0.0008
8337,51264,42927,20428,30817,28986,2144359335.6033,1538468552853857533.0883,42928,8.3789,0.0033,0.0014
26494,70714,44220,14793,32560,29548,2152446565.3478,1539940118996646811.5354,44221,7.5585,0.0016,0.0034
29348,42584,13236,17041,1619,29614,2164732346.9463,1531873978491963487.8376,13237,16.359,0.0023,0.0087
31118,32330,1212,1109,3423,12954,2187932956.8673,1542809302554864194.8719,1213,6.1568,0.0036,0.0231
27102,51650,24548,13072,884,23794,2136857778.6593,1540471919741002686.2613,24549,8.8417,0.0056,0.001
16951,112999,96048,32005,9208,16117,2147724334.9427,1530128899327806429.4127,96049,12.6402,0.0025,0.0033
4219,33009,28790,22761,27932,2851,2142033783.3224,1547480963900096916.8691,28791,10.9379,0.0057,0.0018
19786,56035,36249,30880,1559,5306,2150289695.0324,1533062615771029936.681,36250,3.400,0.0023,0.0037
4868,70106,65238,14430,18327,11211,2146237866.8215,1548096636144824116.4363,65239,6.0476,0.0039,0.0036
17117,54849,37732,2861,32650,981,2149438228.6916,1545413203004391617.6697,37733,16.3903,0.0017,0.0036
16906,106736,89830,15938,5238,7590,2143944787.4457,1533902321576040132.9068,89831,11.0746,0.0033,0.0009
18680,62838,44158,15119,2851,23899,2152586053.4955,1549052795916695277.5906,44159,11.5605,0.0025,0.0039
9252,30628,21376,30623,2472,19791,2144405366.0735,1538403021183211505.8857,21377,4.8112,0.0045,0.0029
21950,80134,58184,31678,20209,23578,2150361156.0481,1535931701867759121.6292,58185,4.775,0.0015,0.0025
26955,35953,8998,27385,12808,28712,2170965991.1941,1528259936904571798.0633,8999,8.8449,0.0008,0.0115
28991,47997,19006,15422,16513,3984,2156099829.2223,1546204613022765477.7774,19007,4.1631,0.0019,0.0062
29803,87034,57231,17707,20036,2865,2138785415.4565,1532778704677049009.1951,57232,5.7995,0.0064,0.0006
712,38189,37477,29652,2740,26284,2142484119.9825,1540001398672780830.8692,37478,5.2019,0.0035,0.0022
26104,101296,75192,11984,31589,25830,2144929141.1106,1530782199565693661.3029,75193,6.2291,0.0023,0.0018
4197,7016,2819,9690,15859,19037,2129265295.5532,1568069538110979918.4344,2820,17.577,0.0169,0.0043
20040,74824,54784,10258,22467,29543,2151014260.5056,1537824522857670635.8172,54785,8.4704,0.0022,0.003
11106,82574,71468,29064,21573,17607,2149085723.3337,1537137891471063900.6473,71469,3.3883,0.0011,0.0021
2664,64802,62138,21817,20195,17973,2145412295.7886,1533409757365427548.3983,62139,6.4716,0.002,0.0021
31344,130979,99635,28127,31188,9998,2145540893.8213,1533129333594531140.6892,99636,4.997,0.0022,0.0012
