n,m,range,seed,mean,variance,period,chi,kp,km
0,7,7,13285,10498.625,24025996.7344,3,792,0.8749,0.125
0,7,7,5576,10292.875,16634705.8594,3,792,0.8749,0.125
0,7,7,12396,9252.625,8323686.2344,3,792,0.8749,0.125
0,7,7,31101,21713.375,68108391.2344,3,792,0.8749,0.125
0,7,7,31764,21892.25,66134954.4375,3,792,0.8749,0.125
0,7,7,27173,22884.625,90460014.2344,3,792,0.8749,0.125
0,7,7,20144,20614.25,32705135.4375,3,792,0.8749,0.125
0,7,7,349,9538.625,50682934.7344,3,792,0.8749,0.125
0,7,7,16738,13588.75,46996329.9375,3,792,0.8749,0.125
0,7,7,32016,23902.25,156428723.4375,3,792,0.8749,0.125
0,7,7,10725,8394.875,8519978.8594,3,792,0.8749,0.125
0,7,7,7479,15615.125,41358355.3594,3,792,0.8749,0.125
0,7,7,28983,22783.25,144378648.1875,3,792,0.8749,0.125
0,7,7,2398,7641.875,16941663.6094,3,792,0.8749,0.125
0,7,7,18637,19781.875,31361352.6094,3,792,0.8749,0.125
0,7,7,27654,22306,36185559,3,792,0.8749,0.125
0,7,7,12964,19442.375,28143975.9844,3,792,0.8749,0.125
0,7,7,10439,11172.5,15840199.5,3,792,0.8749,0.125
0,7,7,10505,17239.875,42146204.1094,3,792,0.8749,0.125
0,7,7,16112,20740.625,33712191.2344,3,792,0.8749,0.125
0,7,7,28452,23681.875,106415069.1094,3,792,0.8749,0.125
0,7,7,5404,9239,12367275,3,792,0.8749,0.125
0,7,7,17249,19958.125,46091951.1094,3,792,0.8749,0.125
0,7,7,32325,20588,220067994.75,3,792,0.8749,0.125
0,7,7,19580,20311,26790315,3,792,0.8749,0.125
0,7,7,22063,17362.625,30716493.2344,3,792,0.8749,0.125
0,7,7,22155,21684.5,67085341.5,3,792,0.8749,0.125
0,7,7,3435,2763.25,526986.1875,3,792,0.8749,0.125
0,7,7,11027,8663.375,7656651.2344,3,792,0.8749,0.125
0,7,7,29975,20243.25,173694510.1875,3,792,0.8749,0.125
0,7,7,21028,20506.875,24631540.3594,3,792,0.8749,0.125
0,7,7,14131,19740.375,23244956.4844,3,792,0.8749,0.125
0,7,7,25094,19873.5,103170276.75,3,792,0.8749,0.125
0,7,7,7194,15137.5,45579456.75,3,792,0.8749,0.125
0,7,7,9348,7384.375,10289483.4844,3,792,0.8749,0.125
0,7,7,17941,19267.375,38943679.7344,3,792,0.8749,0.125
