n,m,range,seed,mean,variance,period,chi,kp,km
26760,28099,1339,16083,2129253657.1657,1546423043325536205.4875,1340,5.7971,0.0156,0.0083
4471,13105,8634,7832,2164482013.225,1521591691008157293.9312,8635,15.7875,0.005,0.0127
14345,93946,79601,23615,2141332582.7414,1531390747474478644.6241,79602,15.5332,0.0035,0.001
15439,106718,91279,32761,2152369299.4656,1535516935469467541.2262,91280,5.1817,0.0003,0.0028
17946,55748,37802,27529,2142962787.2361,1538707762669538229.5376,37803,7.6693,0.0033,0.0012
29946,62212,32266,187,2129897648.7416,1553430500507439627.5495,32267,21.4082,0.0106,0.001
13471,107675,94204,7658,2151338549.4161,1539276200619062558.903,94205,2.985,0.0004,0.0028
13939,52906,38967,1641,2154872068.8246,1535528026728379598.5719,38968,8.5102,0.0008,0.0037
11866,92866,81000,7592,2145630418.1878,1545133594882840955.1595,81001,16.1406,0.0028,0.0015
22356,67920,45564,9715,2147442361.5666,1525794536350111983.0607,45565,7.9416,0.0032,0.0034
5221,101772,96551,16370,2143896357.2349,1542052187128291103.8935,96552,11.2537,0.0038,0.0012
27344,107837,80493,7356,2145024569.1957,1533682052884748381.2795,80494,1.8972,0.0017,0.0008
19198,93390,74192,2258,2156404257.8115,1531565259347967117.4544,74193,10.0995,0.0004,0.0044
15798,21327,5529,5708,2125609256.7297,1517585544715382890.4356,5530,8.4555,0.0121,0.0014
3177,41510,38333,32118,2137678198.0925,1545361043710284192.7966,38334,9.3682,0.0057,0.0019
10090,47423,37333,28782,2138762940.4283,1546821747798085273.1747,37334,7.1233,0.0064,0.0018
26995,88726,61731,18700,2157691927.3482,1533025683308951956.3713,61732,15.6667,0.0001,0.0054
30268,33513,3245,15069,2154758499.4125,1521528781617192050.9115,3246,3.9158,0.0058,0.0097
23005,71131,48126,2358,2143302720.1915,1540985441158428292.2,48127,8.0295,0.0044,0.0014
27569,47359,19790,26559,2173213326.4466,1521954603488666138.5153,19791,17.9779,0.0001,0.0123
2692,68415,65723,13687,2145401431.7506,1538918952617051936.2802,65724,5.5766,0.0028,0.0018
26167,81432,55265,24690,2162374810.7197,1540835090591338719.5151,55266,11.9067,0.0004,0.0062
7020,58734,51714,7401,2154574817.4704,1537911606515746955.2363,51715,6.7073,0.0003,0.0047
15245,16269,1024,18386,2071591121.5893,1567644774273173196.7181,1025,8.6787,0.041,0.0056
21537,67743,46206,24632,2144733252.5377,1531087604488005885.4709,46207,6.3731,0.0029,0.0019
10585,54262,43677,15655,2161314134.3809,1545769660379613137.7695,43678,7.5927,0.0001,0.0065
2641,44797,42156,31026,2152387661.9258,1537779144172331684.2073,42157,12.4511,0.0021,0.0037
28785,66549,37764,26450,2159695592.635,1535448960450431030.6026,37765,9.7373,0.0003,0.005
278,74715,74437,5901,2140439120.8446,1533263886066512466.6712,74438,10.164,0.0038,0.0008
1146,16557,15411,3543,2123980263.8223,1529224240113738788.0693,15412,18.5163,0.0133,0.0001
30406,52924,22518,30639,2131547414.1225,1543699888878678945.9698,22519,13.6084,0.0079,0.000
12647,66756,54109,1856,2150665102.8602,1538536881183511017.8748,54110,3.0967,0.0018,0.0026
7408,62631,55223,9127,2146608248.1533,1537454043717004790.3067,55224,8.4535,0.0018,0.0012
25228,39179,13951,9280,2163373801.2248,1543806822085027252.9632,13952,4.2747,0.0004,0.0075
17193,96082,78889,25108,2138990320.8073,1531173465846082815.2347,78890,11.3741,0.0043,0.0006
23389,103605,80216,174,2137625929.301,1542668343714996487.6647,80217,16.0971,0.0056,0.0005
20767,65140,44373,29512,2132069188.6415,1538980618752320559.6297,44374,13.1164,0.0076,0.0001
23083,26843,3760,26009,2141373899.3879,1518832888607166708.121,3761,7.4116,0.0084,0.0067
18821,51239,32418,30418,2145502025.7297,1546623673220819650.1704,32419,8.7295,0.005,0.0023
31265,57317,26052,15337,2156628226.3294,1519209320748819464.8803,26053,11.558,0.0044,0.0062
32697,72916,40219,28493,2163831746.5512,1545876864618934990.6194,40220,12.5378,0.000,0.0066
29671,117049,87378,29522,2146573526.0967,1534037198961094858.701,87379,2.7243,0.0012,0.0009
11687,85550,73863,26251,2146984245.0605,1546232490922386214.1513,73864,6.8346,0.0024,0.0022
1509,75181,73672,10689,2157386941.4218,1536425504886602690.7852,73673,5.6878,0.0003,0.0041
25659,69726,44067,12359,2146937411.4238,1542047762516610278.3593,44068,4.7227,0.0029,0.0023
23889,62003,38114,13867,2160538228.8819,1536709248987375635.0777,38115,7.1241,0.000,0.0056
2228,2492,264,13076,2060596326.2491,1488279016149325031.6965,265,5.575,0.0441,0.0053
16272,105236,88964,15571,2142124125.6807,1539754734242342618.7184,88965,6.4313,0.004,0.001
25452,45014,19562,847,2155809147.4511,1518444388362391298.9881,19563,8.6669,0.0037,0.0058
32204,100624,68420,2068,2151352240.8108,1532296542105494661.1387,68421,12.0377,0.0016,0.0039
1881,98015,96134,14943,2155505058.4662,1544225230666347876.0367,96135,11.591,0.0008,0.0039
27305,90960,63655,14100,2154067382.3219,1533721505164792390.2277,63656,7.9483,0.0003,0.0034
22426,101985,79559,25513,2151109234.2228,1545477505332944702.9483,79560,22.3627,0.0027,0.0034
5326,96260,90934,12826,2153529788.3795,1546473519540706811.3881,90935,14.841,0.0014,0.004
31703,90163,58460,11022,2153141249.0615,1537419497746948809.3441,58461,12.3799,0.0011,0.0034
24492,118260,93768,16541,2153112666.4376,1540253470800918535.2243,93769,5.2855,0.0005,0.0024
10845,54955,44110,5091,2151897167.9386,1533195203558724159.1884,44111,11.7341,0.0015,0.0045
22795,64350,41555,5220,2163481644.0173,1544909026895678760.2758,41556,13.7537,0.001,0.0067
3132,26627,23495,23668,2130692392.4384,1535152701225037298.4699,23496,19.3888,0.0076,0.000
4003,44989,40986,19903,2146514543.0055,1544690664284700498.167,40987,14.8723,0.0045,0.0036
2993,32528,29535,19331,2168802065.8359,1530627439364004143.9703,29536,17.5184,0.0004,0.0105
22415,97621,75206,13809,2152275280.4542,1528919125299712966.0148,75207,9.6617,0.0018,0.0034
669,76455,75786,17234,2156572604.8075,1541829145852448645.7985,75787,8.7524,0.000,0.004
3854,47028,43174,1025,2137556282.4487,1531232244460580081.5624,43175,12.2403,0.0047,0.0002
10111,36208,26097,9070,2156465273.8176,1515705648812625265.2052,26098,13.7376,0.0026,0.0071
23489,68114,44625,1585,2151441696.8024,1545797172948811215.0336,44626,6.5417,0.0013,0.0034
21941,23854,1913,14853,2133416013.9242,1533806656636325142.325,1914,4.5351,0.0156,0.0055
16752,22642,5890,20284,2150046450.9915,1538878081492420830.2851,5891,10.3022,0.007,0.0072
12262,76077,63815,29634,2136391042.639,1536608607110074013.2357,63816,15.5255,0.0055,0.0009
6232,97764,91532,4979,2150346045.4743,1536509531348970078.2364,91533,7.9045,0.001,0.003
8022,91267,83245,28665,2149202394.5254,1527873719356346510.858,83246,11.6302,0.0023,0.0029
7912,107486,99574,23150,2142624907.5232,1532696502479339965.8208,99575,8.8555,0.0029,0.0011
14710,104690,89980,5352,2156978387.0468,1539183279095636340.4008,89981,9.0795,0.0002,0.004
26416,87437,61021,21482,2151784981.397,1532421966471260162.9953,61022,6.4935,0.0005,0.0029
28208,113574,85366,23357,2144615822.5592,1539882256590443682.9117,85367,5.4829,0.002,0.0006
17178,57643,40465,7520,2137104336.6407,1538332640134229980.3607,40466,7.2416,0.0044,0.000
24398,63543,39145,12100,2148177436.961,1541935707712573200.0954,39146,6.5002,0.0024,0.0022
25142,110840,85698,25572,2145401031.8188,1540109787481743792.0542,85699,4.5032,0.0028,0.0008
17718,38405,20687,5165,2158443512.1667,1528475279397622494.9223,20688,10.219,0.002,0.0061
19794,101783,81989,8013,2136166269.842,1538028337722497605.6946,81990,24.5751,0.0061,0.0007
7805,62695,54890,21363,2150565579.4908,1527845115222746128.1374,54891,12.8656,0.0016,0.0038
21870,68103,46233,1900,2151166297.6729,1545151137614430176.3583,46234,5.8339,0.0014,0.0037
6719,55955,49236,23613,2144444370.5374,1522958880453360097.2505,49237,9.6118,0.004,0.0022
25506,83394,57888,21047,2149430963.564,1532790819456295526.9242,57889,3.0657,0.0013,0.0026
24465,85204,60739,24197,2152096242.4898,1532183145334319625.0866,60740,10.017,0.0016,0.0046
5775,84866,79091,10033,2154673125.2302,1537209751058716449.2265,79092,9.5335,0.0002,0.0037
13580,27450,13870,1277,2141964291.4759,1545659330555286208.0728,13871,6.1985,0.006,0.003
