n,m,range,seed,mean,variance,period,chi,kp,km
7754,84893,77139,19879,2142323660.2943,1531340511662252969.6744,77140,11.053,0.0033,0.0005
25306,66502,41196,30446,2148922792.4634,1535941141778012021.6038,41197,9.1666,0.0017,0.0031
12893,112175,99282,18258,2149884232.6205,1539439674686512955.3846,99283,3.5337,0.0005,0.0017
11425,85246,73821,15584,2152991722.8963,1547197820276588819.9966,73822,20.0357,0.0025,0.0059
22301,50149,27848,1976,2147271785.4634,1528377905385148564.4639,27849,15.3697,0.0026,0.0033
27487,116443,88956,23856,2145171966.9728,1545221620283387865.75,88957,5.8111,0.0023,0.0014
13836,25781,11945,8722,2149239882.5558,1526341010775786073.8928,11946,6.7349,0.0056,0.005
5225,42350,37125,10696,2153002931.0349,1534629586316343965.612,37126,6.029,0.0004,0.0031
12615,51906,39291,20277,2155660970.0613,1529029827292080218.6567,39292,20.4928,0.0011,0.0068
22926,62292,39366,19577,2150339462.5227,1524143517467748255.7464,39367,8.8416,0.0028,0.0035
30650,86871,56221,10765,2148967457.1713,1536445378246948643.6135,56222,9.3085,0.0014,0.0023
22910,102521,79611,11378,2144289529.8466,1544584182639026755.625,79612,10.7686,0.0031,0.001
10607,60202,49595,30581,2137614416.8846,1533491833818852171.1116,49596,16.9239,0.0053,0.0002
32552,47261,14709,16442,2152056085.4807,1514925026671499750.3002,14710,9.845,0.0035,0.0071
24437,65398,40961,15556,2140208264.5045,1519136647873860161.4592,40962,13.2194,0.0052,0.0026
10525,65162,54637,24943,2153795455.5697,1531784869445122288.362,54638,5.7873,0.0009,0.0034
24640,123675,99035,22667,2145537021.3838,1538771242393771978.8192,99036,10.5561,0.0031,0.002
13017,86586,73569,32567,2139491288.3269,1542094141039517558.011,73570,10.2759,0.0047,0.001
9341,93636,84295,22330,2139190352.4678,1536231634380115292.9284,84296,10.1808,0.0039,0.0003
22965,71182,48217,16431,2143872047.4207,1534960005609284772.3194,48218,11.7976,0.0036,0.002
5914,63592,57678,193,2151949285.917,1538958789375497008.6518,57679,11.5795,0.0013,0.0028
13809,99570,85761,10537,2146699132.8595,1536260366174154726.5713,85762,13.1869,0.0021,0.0016
7588,25001,17413,18547,2129450052.9202,1536778679038519651.8121,17414,16.9469,0.0077,0.0001
11371,18191,6820,23744,2181073475.2325,1531239215779467504.0881,6821,19.9698,0.000,0.0153
1483,79784,78301,1333,2149861497.4673,1544135700905133948.2948,78302,8.4566,0.0017,0.0033
14469,101316,86847,22105,2150263492.9886,1527776887494452277.197,86848,12.7744,0.0013,0.003
12144,29935,17791,1791,2173033976.9245,1538060817684972805.5015,17792,18.2049,0.0007,0.0128
9189,91646,82457,24632,2145092286.6041,1536612118623830262.7099,82458,1.7905,0.0017,0.0006
8970,69645,60675,14660,2143602819.6535,1530204883231303771.3224,60676,10.3061,0.0029,0.0016
17861,49831,31970,24388,2143568961.079,1522747461518874986.2633,31971,10.1118,0.0062,0.0034
3562,101037,97475,15044,2150063180.8269,1540442693912642397.1923,97476,8.5875,0.0009,0.0021
28267,109708,81441,23812,2135983921.7023,1544654419203318559.4932,81442,18.7547,0.0047,0.0008
28314,54233,25919,7090,2160142835.2926,1538818610852328612.7403,25920,3.9639,0.0008,0.0059
25636,67994,42358,6847,2136985274.5308,1535745517796922374.7543,42359,11.7059,0.0067,0.0009
15043,79589,64546,13933,2142410372.5985,1537098144674445165.5151,64547,13.568,0.0028,0.0006
22449,39734,17285,26733,2137263127.2894,1502993528969747352.3313,17286,29.3676,0.0097,0.0073
28984,86571,57587,26973,2145754235.6752,1533610251439293235.9658,57588,4.4157,0.0021,0.0014
30250,64050,33800,32583,2138051914.7786,1545977532888097095.2858,33801,17.0228,0.0049,0.0008
20958,120583,99625,25267,2151027114.5006,1534167979552412098.3574,99626,12.9626,0.0011,0.0029
845,3345,2500,26310,2153215597.6166,1566309152939464940.2332,2501,6.6984,0.0081,0.0124
2748,10716,7968,25463,2148936073.1513,1552730084134909450.7774,7969,5.5937,0.0062,0.0053
21476,32791,11315,16659,2186154808.2275,1555874772549673916.5352,11316,20.3135,0.0004,0.0144
7804,27888,20084,15508,2153189497.1942,1553309036584586976.4739,20085,4.6597,0.0031,0.0055
17308,37243,19935,27292,2160144397.8114,1545203500259607276.7534,19936,3.8559,0.0005,0.0059
25031,109355,84324,3664,2163425743.0053,1546847792827937268.785,84325,24.1511,0.0006,0.0074
23632,87185,63553,18569,2150369358.6441,1533809492557307053.6241,63554,6.8966,0.0018,0.0033
19211,65059,45848,23664,2158334275.3468,1543824659318973785.5521,45849,5.6606,0.0007,0.0058
6643,48897,42254,18686,2159340919.7207,1527044898112099805.0269,42255,16.1444,0.0001,0.0066
20292,107024,86732,8819,2142565412.5935,1540007671422884633.7396,86733,4.6887,0.0025,0.0003
30172,122602,92430,789,2143074760.2694,1536440197874813607.9771,92431,7.3409,0.003,0.0006
6133,54019,47886,30066,2148934331.8285,1538279916132563706.5018,47887,4.2369,0.0013,0.0018
20846,91320,70474,26033,2150522294.3925,1539328813729916431.6359,70475,6.1697,0.0006,0.0021
8963,78767,69804,27961,2144219969.5005,1541865164423859732.1834,69805,5.5232,0.0028,0.0009
31876,65258,33382,4409,2126186407.6913,1545365863048732757.9082,33383,24.6766,0.0098,0.000
1416,25459,24043,29221,2143932429.9871,1540552757211159340.7151,24044,24.1955,0.006,0.0024
3648,87428,83780,20177,2147148439.0786,1536079133048302156.9398,83781,8.0225,0.0023,0.0013
17551,63331,45780,21138,2150574213.8667,1537163499586323333.9116,45781,2.8467,0.0019,0.0039
16466,89046,72580,2750,2148405432.9776,1546332047881346955.3895,72581,6.9745,0.0018,0.0024
31333,75087,43754,17471,2143896723.8815,1534695974418847236.3924,43755,2.8205,0.0022,0.0005
8948,32411,23463,27623,2141877194.6292,1531633463555642070.4375,23464,10.3515,0.0049,0.0029
25675,52559,26884,18877,2147687211.9683,1532004065649209809.6995,26885,7.4114,0.0033,0.0034
23459,82416,58957,18308,2152759167.2849,1536848135256754277.9184,58958,3.5752,0.0004,0.003
31005,127037,96032,11697,2148742329.1791,1526477741917109495.7216,96033,8.5878,0.0025,0.0025
4593,80408,75815,13603,2150886009.404,1539805722948266390.4809,75816,17.1411,0.0018,0.0028
14881,75619,60738,30822,2153576422.4379,1531189528554184785.7938,60739,3.6245,0.0006,0.0035
8538,13634,5096,27508,2166403635.92,1549853995883600651.5306,5097,6.2212,0.0023,0.0104
21260,21784,524,24661,2249288796.6,1572669643805906877.7333,525,8.3933,0,0.0517
18883,49138,30255,27498,2136973104.216,1538741403977088560.7854,30256,16.0517,0.0051,0.0001
19887,71495,51608,28618,2160107028.8729,1526736040813729659.5377,51609,14.1763,0.0004,0.0057
25638,37873,12235,20550,2154553509.9073,1529325961964265314.1083,12236,2.9092,0.0025,0.0062
29345,88951,59606,21077,2160521456.8976,1530717024419022129.8131,59607,22.9551,0.0001,0.0047
27554,120702,93148,14282,2149724484.0814,1536798200164594617.011,93149,6.396,0.0008,0.0022
19754,91363,71609,19329,2146157744.5082,1547943641453798782.2943,71610,9.3529,0.0032,0.0023
9275,68701,59426,18969,2159099504.4492,1542713426932501421.1485,59427,9.5035,0.0002,0.0043
19676,72671,52995,21251,2131356950.8275,1527326341045064112.0873,52996,30.1713,0.0074,0.000
12743,29718,16975,23246,2163027939.2078,1555703184514307897.3088,16976,10.5142,0.003,0.0093
24829,58315,33486,11341,2134817502.635,1549061333457295241.6751,33487,16.5929,0.006,0.000
16666,105604,88938,26336,2159894383.9813,1531614453444887177.6832,88939,18.8559,0.0004,0.0058
6413,83222,76809,22599,2153986250.3855,1535252080757686429.8062,76810,14.8237,0.0004,0.003
24336,79661,55325,26096,2146284473.9391,1531405556290465660.6493,55326,11.4039,0.0027,0.0016
3277,39547,36270,6991,2141664032.8911,1536373151394168328.325,36271,7.2996,0.0034,0.0004
12998,33323,20325,2760,2158405352.9885,1522941590353914780.5504,20326,7.1688,0.0012,0.0063
7941,89608,81667,10229,2152386331.7349,1538807562902658611.4482,81668,8.0795,0.0009,0.0026
7936,51121,43185,4906,2153432373.0916,1526050510045358528.673,43186,7.9984,0.0013,0.0038
18419,91210,72791,28362,2140295340.4871,1538253015117346726.0796,72792,12.6525,0.0036,0.0004
25518,92814,67296,2662,2144400638.0981,1544556511660375376.1233,67297,3.7209,0.0026,0.0013
1370,92568,91198,12174,2153130614.8526,1549509414811367173.5099,91199,16.0612,0.0017,0.0043
21213,108789,87576,22899,2161437821.146,1540601282191593175.0524,87577,15.5225,0.0002,0.006
12847,107810,94963,25355,2141864383.1949,1536868517825169338.0947,94964,5.8206,0.0029,0.0002
17431,33614,16183,2060,2148271980.8772,1528514667951052028.9515,16184,7.632,0.003,0.0042
1651,48994,47343,9579,2160966678.428,1530459124416634232.8954,47344,10.5061,0.0015,0.0067
23225,58359,35134,22630,2147704248.6057,1536498702471954500.1277,35135,4.8338,0.0024,0.0025
21421,81328,59907,21162,2145868754.9825,1528177097522950801.8337,59908,10.690,0.003,0.0024
24328,53933,29605,25106,2134188418.2251,1546569416376941733.8796,29606,17.3828,0.0074,0.0002
10531,108227,97696,32305,2156161109.0795,1530866451173680190.127,97697,13.3663,0.0007,0.0049
4433,64809,60376,32671,2147736679.1492,1531785163749266939.4826,60377,13.0786,0.0027,0.002
18103,67150,49047,17889,2131038439.8484,1531857494593273275.8807,49048,11.7829,0.0064,0.000
26858,30794,3936,14013,2132012106.7455,1530745030619427062.7556,3937,6.7413,0.0114,0.0018
21341,51631,30290,10494,2136514352.7405,1534881826903805879.7547,30291,6.9011,0.0051,0.0007
24894,85820,60926,32223,2148129264.1972,1529939657465817671.1028,60927,3.1342,0.002,0.0021
976,14820,13844,4659,2137889187.2839,1527937384455425736.246,13845,5.1494,0.0084,0.0018
30923,95822,64899,10159,2146250480.0283,1541134212629214778.994,64900,7.6647,0.0025,0.0015
6159,21281,15122,24058,2121530169.4727,1522127235762632740.2768,15123,19.4592,0.011,0.0004
30186,97524,67338,13365,2148816308.7891,1546385758095072407.9772,67339,8.5579,0.0025,0.0022
12512,54402,41890,104,2146402051.1163,1549012540158110039.4927,41891,10.0292,0.0037,0.0029
21119,66975,45856,16772,2152953690.6821,1530996440751484509.3393,45857,7.8537,0.0014,0.0035
3241,34924,31683,1620,2150856531.6199,1540262012022247324.4457,31684,10.0874,0.0025,0.0037
6916,77287,70371,21278,2152626414.109,1530025216418528835.9896,70372,7.0423,0.0011,0.0036
3972,91645,87673,17801,2152435616.977,1551714379793193724.9246,87674,22.5278,0.002,0.0041
31724,72053,40329,1330,2155897450.1777,1538857731589900313.4628,40330,7.9941,0.0008,0.0035
18308,39361,21053,31825,2145048958.0551,1549202217543282235.6751,21054,13.3022,0.0048,0.0032
20323,59730,39407,9804,2152030389.1736,1541494479116725180.3952,39408,8.4942,0.0021,0.0031
26290,32017,5727,21150,2157807886.6508,1550532360246851909.5178,5728,12.6862,0.0056,0.0106
16882,80711,63829,18616,2153757498.3042,1544852721169799191.6305,63830,6.8039,0.0011,0.0043
26616,82376,55760,27,2157558471.8811,1521530198054581593.3527,55761,20.7185,0.0014,0.0068
3159,14570,11411,28358,2147200424.9518,1560261440601128058.8454,11412,13.5995,0.006,0.0063
12271,29310,17039,17734,2149118650.9986,1541051029440720985.3939,17040,7.5986,0.0036,0.0046
10854,85215,74361,19410,2127754829.6994,1537221473689516825.0987,74362,26.7668,0.0074,0.0001
631,39216,38585,7137,2133574912.5671,1536871072226995110.808,38586,11.9695,0.0061,0.000
7829,55581,47752,27981,2159630113.1046,1533574648115738025.4028,47753,12.0447,0.000,0.0049
32663,87348,54685,15419,2149020423.8648,1528916579225685881.4815,54686,10.5505,0.0016,0.0022
27154,32919,5765,2078,2152937396.202,1528564744296071376.5209,5766,1.5458,0.005,0.0081
10600,15931,5331,3398,2148410480.3942,1551426197778857146.9192,5332,22.1017,0.0107,0.0098
6094,56094,50000,7102,2149330678.7575,1537716922930402463.7703,50001,3.0771,0.0015,0.0029
32129,42702,10573,28694,2146684930.9239,1546156482027845266.2513,10574,5.7151,0.0044,0.0065
21301,85705,64404,32233,2141194985.5029,1531135801876567025.7696,64405,7.2963,0.0044,0.001
866,99682,98816,24020,2148387337.7452,1533651736822322789.2777,98817,13.2701,0.0017,0.0018
11101,107004,95903,17180,2155617385.8604,1542323360760688266.7721,95904,8.7449,0.0002,0.0036
16539,81020,64481,12459,2137920215.2737,1532697988300984896.9006,64482,13.2808,0.0054,0.0006
30961,76491,45530,24940,2162401562.9908,1539429422746163970.0681,45531,19.4753,0.000,0.0061
11183,68663,57480,17418,2144828217.9941,1535724907777383076.0732,57481,11.8124,0.0025,0.0021
18361,35927,17566,4659,2151553500.9277,1538366313354654262.0769,17567,1.946,0.0023,0.0036
3984,96998,93014,5373,2149043178.772,1542352335009375067.4362,93015,18.7908,0.003,0.0025
3177,50624,47447,27908,2152623769.7226,1537453493860655505.9196,47448,9.2524,0.0012,0.0034
23610,38359,14749,11474,2127701580.4123,1570969059129902387.5417,14750,19.3024,0.012,0.0026
23133,45198,22065,19601,2155757426.6096,1532920234654883875.8405,22066,5.159,0.0013,0.0048
1697,78723,77026,2666,2147068416.9169,1536177624060508806.4016,77027,2.7603,0.0016,0.0012
3314,20679,17365,12569,2167085137.6013,1528452548324335381.4619,17366,15.6422,0.0014,0.0121
1749,16668,14919,15513,2163036518.3676,1537108446811038025.0566,14920,16.6825,0.0024,0.0092
9967,63944,53977,20600,2139836366.2485,1533953049488422215.0726,53978,9.1006,0.0044,0.001
6345,51408,45063,667,2143797363.7613,1532121028358921042.3571,45064,8.1074,0.0029,0.0017
19545,29462,9917,9675,2152716290.0215,1549081663460077770.3866,9918,1.8629,0.0029,0.0058
2504,91546,89042,21068,2143528847.3928,1530249488868293227.7064,89043,18.397,0.0034,0.0019
7910,55134,47224,15302,2155120888.2874,1550443498958422967.6899,47225,16.7518,0.0022,0.0062
29119,68403,39284,21602,2148042505.9875,1533326558856551203.1372,39285,4.2844,0.0019,0.002
5709,6228,519,18967,2202005221.5923,1441169316170067701.2569,520,6.6548,0.0119,0.0328
24962,37847,12885,30396,2169013637.2849,1536479512289353424.1938,12886,9.9395,0.000,0.009
31686,129326,97640,9917,2154825823.056,1541737075702629316.3566,97641,11.1065,0.0001,0.004
29091,49174,20083,15098,2138781336.4158,1530855041566968443.3528,20084,16.2118,0.0051,0.0014
5259,26381,21122,32171,2140871840.904,1548701998865946893.3183,21123,11.2127,0.0055,0.0024
3721,56594,52873,2105,2159722551.5519,1534383591392358302.6536,52874,17.1165,0.0004,0.0071
9062,72504,63442,20268,2155343071.4137,1534906968370767581.3067,63443,9.1962,0.0002,0.0036
739,31399,30660,14137,2137201693.8149,1527227889476015599.5669,30661,6.1013,0.0054,0.0015
12923,74286,61363,28895,2149374809.8615,1543692722587442561.4802,61364,5.9309,0.0015,0.002
6658,85737,79079,12021,2156384549.046,1537292449158647408.7915,79080,7.6813,0.0003,0.0047
1234,51063,49829,8804,2153911962.2164,1535864210258940364.7862,49830,15.0478,0.0003,0.0031
11390,48001,36611,20150,2143680107.9112,1536587884106612230.1698,36612,3.0377,0.0028,0.0007
14835,112328,97493,18876,2144886346.7749,1537332821005738015.3725,97494,2.1017,0.002,0.0007
31184,51427,20243,5138,2161263119.7403,1549099786911448401.8196,20244,15.6954,0.0017,0.0077
19586,91549,71963,2913,2149376626.6341,1531619196428989391.3307,71964,17.6819,0.0016,0.0026
15892,49794,33902,16007,2145039650.1905,1526733959789818942.0813,33903,8.4081,0.0037,0.0025
21019,80274,59255,5201,2138224715.7176,1549888126983784567.4601,59256,19.7703,0.0051,0.0012
10654,79017,68363,31050,2151008411.6528,1541883375962084829.6742,68364,21.7904,0.0022,0.0043
14350,89100,74750,25648,2147717369.6347,1540165568787443073.2727,74751,14.4343,0.0016,0.0012
15471,28618,13147,30859,2156391332.4687,1546786718788236897.0306,13148,11.9252,0.009,0.008
6068,32481,26413,23228,2150801208.981,1537408128517276925.7761,26414,10.3083,0.0026,0.0045
12693,94847,82154,29971,2145948520.2869,1528515388684118632.1559,82155,23.3688,0.0031,0.0029
4065,73153,69088,20722,2152185098.5367,1532164335197176273.7993,69089,12.976,0.0005,0.0033
5586,81653,76067,14877,2137051238.8748,1540239531478069705.9157,76068,17.6145,0.0048,0.000
6935,74894,67959,10716,2144654807.6843,1542794571471413773.8179,67960,4.2319,0.0025,0.001
25510,30007,4497,1232,2112169561.1292,1555184769628917314.2468,4498,16.0467,0.0161,0.0026
13527,80975,67448,25222,2147350145.2672,1531559703258331981.0613,67449,15.8119,0.0024,0.002
28957,104861,75904,27861,2152789843.4872,1531285435838387678.267,75905,18.1245,0.0007,0.0027
24552,72921,48369,7600,2140926449.1718,1541869564894498478.7029,48370,6.2395,0.0045,0.0012
16341,89488,73147,32403,2148805671.0448,1539458877190726291.1872,73148,7.5884,0.0011,0.0019
8908,55483,46575,8977,2138435402.1032,1551280324389220900.5532,46576,14.3976,0.0065,0.0021
27912,126656,98744,27041,2138954614.6794,1527101568568549576.0708,98745,11.8753,0.0049,0.001
9220,37617,28397,20409,2121933345.2932,1532817628254724764.0112,28398,25.0208,0.0103,0.000
17811,33764,15953,455,2139922168.7606,1545512213982271353.0126,15954,6.1844,0.0061,0.0032
29475,45933,16458,20369,2154275067.2005,1531710140454463906.0548,16459,1.7971,0.0022,0.0048
24786,33275,8489,16994,2136071047.6404,1558697740316964479.5759,8490,9.7518,0.0116,0.005
22779,36454,13675,32239,2165907754.3815,1532318827666941451.3483,13676,13.0959,0.0014,0.0107
6420,88407,81987,12462,2152239433.2852,1531247639806181601.4409,81988,16.9068,0.0015,0.0033
11788,75942,64154,26874,2143338714.7481,1535218813522157212.4232,64155,9.1791,0.0026,0.0006
14728,79984,65256,19519,2147373591.9191,1529741155106217123.6784,65257,8.3528,0.0022,0.0026
29011,62456,33445,22239,2141215279.0929,1540185292331665428.5679,33446,5.1134,0.0044,0.0007
2705,87202,84497,23652,2147216195.8303,1536892574660048147.2358,84498,3.9118,0.0015,0.0017
22861,97533,74672,10056,2151114687.5838,1538824554621220060.1833,74673,3.5219,0.0003,0.002
4706,64759,60053,1278,2146606423.7492,1526033704160373227.8209,60054,7.6597,0.0035,0.0022
25430,85305,59875,23501,2146675772.2425,1535879631377355483.1415,59876,5.0975,0.002,0.0013
3719,13672,9953,30501,2156900882.0501,1548881005935278907.3418,9954,7.8115,0.0024,0.0069
27608,98300,70692,3282,2151579031.935,1533650078190686552.0127,70693,11.940,0.0015,0.0047
27912,35402,7490,17935,2145073991.6441,1526842406239559182.9861,7491,10.1844,0.0068,0.0043
16583,32847,16264,27311,2163298822.1587,1521641329443313774.8076,16265,12.0107,0.0014,0.0082
11011,78155,67144,32180,2144824443.801,1538774840364080103.0652,67145,10.2333,0.0037,0.0019
28763,79500,50737,3746,2160233002.0339,1534427867381524702.4743,50738,12.2635,0.0001,0.0069
31103,130922,99819,12535,2147589478.2162,1540758264875873267.3772,99820,11.1712,0.0015,0.0014
22450,34125,11675,6835,2148737309.833,1530461896702115867.6019,11676,6.2215,0.0045,0.0044
7863,86977,79114,20704,2159089131.3179,1536773937931958178.2639,79115,14.2622,0.000,0.0049
24205,85822,61617,14776,2139957563.5733,1541081551263265115.6778,61618,6.4177,0.0042,0.0008
10659,39188,28529,24648,2153279900.1826,1545799593847636345.457,28530,8.2123,0.0017,0.0043
